Time,Accel1_X [m/s^2],Accel1_Y [m/s^2],Accel1_Z [m/s^2],Rotation1_X [rad/s],Rotation1_Y [rad/s],Rotation1_Z [rad/s],Accel2_X [m/s^2],Accel2_Y [m/s^2],Accel2_Z [m/s^2],Rotation2_X [rad/s],Rotation2_Y [rad/s],Rotation2_Z [rad/s]
2025-02-24 12:47:10.476,0.00,0.00,0.00,-0.06,-0.01,-0.02,,-4.69,-0.06,8.99,-0.02,-0.01,0.01
2025-02-24 12:47:10.518,0.02,0.02,0.02,-0.06,-0.01,-0.02,,-4.66,-0.05,8.99,-0.02,-0.02,0.02
2025-02-24 12:47:10.558,0.03,0.02,0.01,-0.06,-0.01,-0.02,,-4.55,0.03,8.94,-0.01,-0.02,0.01
2025-02-24 12:47:10.594,0.02,0.02,0.05,-0.06,-0.00,-0.02,,-4.73,-0.03,8.99,-0.02,-0.02,0.02
2025-02-24 12:47:10.630,0.04,0.01,0.02,-0.06,-0.01,-0.02,,-4.58,0.05,8.93,-0.02,-0.02,0.02
2025-02-24 12:47:10.662,0.03,0.00,0.03,-0.06,-0.01,-0.02,,-4.69,0.01,9.01,-0.01,-0.02,0.02
2025-02-24 12:47:10.697,0.02,0.01,0.01,-0.06,-0.00,-0.02,,-4.61,-0.02,8.97,-0.02,-0.02,0.01
2025-02-24 12:47:10.731,0.02,0.02,0.00,-0.06,-0.00,-0.02,,-4.74,-0.03,9.09,-0.02,-0.02,0.02
2025-02-24 12:47:10.768,0.03,0.03,0.02,-0.06,-0.00,-0.02,,-4.61,-0.03,9.01,-0.01,-0.02,0.02
2025-02-24 12:47:10.808,0.02,0.02,0.00,-0.06,-0.00,-0.02,,-4.69,0.03,8.98,-0.01,-0.02,0.02
2025-02-24 12:47:10.844,0.01,0.02,0.01,-0.06,-0.01,-0.02,,-4.70,-0.02,9.01,-0.02,-0.02,0.01
2025-02-24 12:47:10.880,0.00,0.02,0.04,-0.06,-0.00,-0.02,,-4.61,0.01,9.08,-0.02,-0.02,0.01
2025-02-24 12:47:10.915,-0.00,0.02,0.03,-0.06,-0.01,-0.02,,-4.71,-0.02,8.95,-0.02,-0.02,0.02
2025-02-24 12:47:10.948,0.00,0.00,0.04,-0.06,-0.00,-0.02,,-4.61,0.02,8.90,-0.02,-0.02,0.02
2025-02-24 12:47:10.981,0.01,0.00,0.01,-0.06,-0.01,-0.02,,-4.69,-0.03,9.04,-0.02,-0.02,0.01
2025-02-24 12:47:11.020,0.02,0.00,0.03,-0.06,-0.00,-0.02,,-4.63,0.03,8.96,-0.02,-0.02,0.01
2025-02-24 12:47:11.059,0.02,0.01,0.04,-0.06,-0.00,-0.02,,-4.70,-0.05,8.93,-0.01,-0.01,0.02
2025-02-24 12:47:11.094,0.03,0.01,0.06,-0.06,-0.00,-0.02,,-4.61,0.00,8.97,-0.02,-0.02,0.01
2025-02-24 12:47:11.130,0.04,0.01,0.01,-0.06,-0.00,-0.02,,-4.64,-0.01,8.98,-0.01,-0.02,0.01
2025-02-24 12:47:11.165,0.02,0.01,0.06,-0.06,-0.01,-0.02,,-4.62,-0.01,9.05,-0.02,-0.02,0.01
2025-02-24 12:47:11.199,0.00,0.01,0.02,-0.06,-0.01,-0.02,,-4.61,0.04,8.96,-0.02,-0.02,0.02
2025-02-24 12:47:11.232,0.00,0.03,0.02,-0.06,-0.00,-0.02,,-4.74,-0.02,9.02,-0.01,-0.02,0.02
2025-02-24 12:47:11.269,0.02,0.03,0.02,-0.06,-0.01,-0.02,,-4.57,0.04,9.01,-0.02,-0.02,0.01
2025-02-24 12:47:11.308,0.01,0.02,0.03,-0.06,-0.01,-0.02,,-4.70,0.01,9.06,-0.01,-0.02,0.01
2025-02-24 12:47:11.343,0.02,-0.01,0.01,-0.06,-0.01,-0.02,,-4.61,0.05,9.05,-0.01,-0.02,0.01
2025-02-24 12:47:11.375,0.01,0.00,0.02,-0.06,-0.00,-0.02,,-4.71,0.01,8.98,-0.01,-0.02,0.02
2025-02-24 12:47:11.409,0.01,0.01,0.02,-0.06,-0.01,-0.02,,-4.59,-0.03,8.94,-0.02,-0.02,0.02
2025-02-24 12:47:11.447,0.02,0.02,0.01,-0.06,-0.00,-0.02,,-4.68,0.01,9.07,-0.01,-0.02,0.02
2025-02-24 12:47:11.477,0.03,-0.01,0.04,-0.06,-0.01,-0.02,,-4.65,-0.01,8.95,-0.01,-0.02,0.01
2025-02-24 12:47:11.517,0.03,0.00,0.01,-0.06,-0.01,-0.02,,-4.61,0.03,9.01,-0.01,-0.02,0.02
2025-02-24 12:47:11.558,0.02,0.02,0.03,-0.06,-0.00,-0.02,,-4.71,-0.08,8.90,-0.01,-0.02,0.02
2025-02-24 12:47:11.595,0.01,0.00,0.02,-0.06,-0.01,-0.02,,-4.59,-0.00,8.99,-0.01,-0.02,0.01
2025-02-24 12:47:11.625,0.02,0.03,0.03,-0.06,-0.00,-0.02,,-4.75,-0.03,9.00,-0.02,-0.01,0.02
2025-02-24 12:47:11.659,0.01,0.01,0.00,-0.06,-0.01,-0.02,,-4.62,-0.00,8.98,-0.02,-0.02,0.01
2025-02-24 12:47:11.693,0.00,0.02,0.02,-0.06,-0.01,-0.02,,-4.69,-0.04,9.02,-0.02,-0.02,0.01
2025-02-24 12:47:11.725,0.02,0.03,0.02,-0.06,-0.01,-0.02,,-4.58,-0.01,8.99,-0.02,-0.02,0.02
2025-02-24 12:47:11.775,0.04,-0.00,0.01,-0.06,-0.00,-0.02,,-4.73,-0.03,9.06,-0.01,-0.02,0.02
2025-02-24 12:47:11.811,0.03,-0.00,0.04,-0.06,-0.00,-0.02,,-4.67,-0.07,9.04,-0.01,-0.02,0.02
2025-02-24 12:47:11.844,0.01,0.00,0.01,-0.06,-0.00,-0.02,,-4.67,0.03,8.96,-0.02,-0.02,0.02
2025-02-24 12:47:11.883,0.02,0.01,0.02,-0.06,-0.00,-0.02,,-4.72,-0.05,8.95,-0.02,-0.02,0.01
2025-02-24 12:47:11.910,0.02,0.01,0.02,-0.06,-0.01,-0.02,,-4.69,0.02,8.92,-0.01,-0.02,0.01
2025-02-24 12:47:11.943,0.02,0.00,0.01,-0.06,-0.00,-0.02,,-4.73,-0.04,9.01,-0.01,-0.02,0.02
2025-02-24 12:47:11.982,0.03,0.02,0.06,-0.06,-0.01,-0.02,,-4.60,0.02,8.98,-0.02,-0.02,0.01
2025-02-24 12:47:12.024,0.02,0.02,0.05,-0.06,-0.00,-0.02,,-4.73,-0.02,8.95,-0.01,-0.02,0.01
2025-02-24 12:47:12.059,0.03,0.02,0.03,-0.06,-0.00,-0.02,,-4.62,0.00,9.02,-0.01,-0.02,0.01
2025-02-24 12:47:12.093,0.01,0.02,0.00,-0.06,-0.00,-0.02,,-4.70,-0.04,8.96,-0.01,-0.02,0.01
2025-02-24 12:47:12.126,0.04,0.01,0.03,-0.06,-0.01,-0.02,,-4.71,-0.02,8.95,-0.02,-0.02,0.02
2025-02-24 12:47:12.161,0.02,0.00,0.01,-0.06,-0.01,-0.02,,-4.68,0.00,8.99,-0.02,-0.02,0.01
2025-02-24 12:47:12.193,0.03,0.01,0.03,-0.06,-0.01,-0.02,,-4.75,-0.06,9.06,-0.01,-0.02,0.02
2025-02-24 12:47:12.225,0.01,0.01,0.02,-0.06,-0.01,-0.02,,-4.57,0.00,8.99,-0.01,-0.02,0.02
2025-02-24 12:47:12.275,0.01,0.01,0.02,-0.06,-0.01,-0.02,,-4.73,-0.01,9.05,-0.02,-0.02,0.01
2025-02-24 12:47:12.310,0.00,0.01,0.02,-0.06,-0.01,-0.02,,-4.61,0.02,9.01,-0.02,-0.02,0.02
2025-02-24 12:47:12.346,0.00,0.02,0.01,-0.06,-0.01,-0.02,,-4.76,-0.01,8.84,-0.01,-0.02,0.01
2025-02-24 12:47:12.377,0.00,0.00,0.02,-0.06,-0.00,-0.02,,-4.63,-0.07,9.05,-0.01,-0.02,0.02
2025-02-24 12:47:12.411,0.01,0.01,0.04,-0.06,-0.01,-0.02,,-4.71,0.02,9.05,-0.02,-0.01,0.01
2025-02-24 12:47:12.449,0.01,0.01,0.03,-0.06,-0.00,-0.02,,-4.61,-0.03,8.99,-0.02,-0.02,0.01
2025-02-24 12:47:12.477,0.01,0.00,0.02,-0.06,-0.00,-0.02,,-4.57,-0.01,9.01,-0.02,-0.02,0.02
2025-02-24 12:47:12.525,0.04,0.00,0.05,-0.06,-0.00,-0.02,,-4.69,-0.04,9.02,-0.02,-0.02,0.02
2025-02-24 12:47:12.559,0.04,0.02,0.03,-0.06,-0.01,-0.02,,-4.55,-0.01,9.02,-0.01,-0.02,0.01
2025-02-24 12:47:12.593,0.04,0.02,0.01,-0.06,-0.01,-0.02,,-4.75,-0.03,9.02,-0.02,-0.02,0.01
2025-02-24 12:47:12.626,0.03,0.00,0.02,-0.06,-0.00,-0.02,,-4.60,-0.01,9.01,-0.02,-0.02,0.02
2025-02-24 12:47:12.659,0.02,0.01,0.01,-0.06,-0.00,-0.02,,-4.82,-0.08,9.00,-0.02,-0.02,0.01
2025-02-24 12:47:12.693,0.02,0.03,0.01,-0.06,-0.00,-0.02,,-4.59,0.04,9.00,-0.02,-0.01,0.01
2025-02-24 12:47:12.741,0.03,0.03,0.06,-0.06,-0.00,-0.02,,-4.70,-0.00,9.02,-0.02,-0.01,0.02
2025-02-24 12:47:12.776,0.01,0.02,0.05,-0.06,-0.00,-0.02,,-4.68,-0.01,9.00,-0.02,-0.01,0.01
2025-02-24 12:47:12.811,0.00,0.00,0.03,-0.06,-0.00,-0.02,,-4.61,-0.00,9.02,-0.02,-0.02,0.02
2025-02-24 12:47:12.844,0.03,0.01,0.04,-0.06,-0.00,-0.02,,-4.72,-0.10,9.08,-0.02,-0.02,0.02
2025-02-24 12:47:12.877,0.02,0.03,0.02,-0.06,-0.01,-0.02,,-4.63,0.06,8.97,-0.02,-0.02,0.01
2025-02-24 12:47:12.920,0.01,0.01,0.02,-0.06,-0.01,-0.02,,-4.74,-0.07,8.99,-0.01,-0.02,0.02
2025-02-24 12:47:12.944,0.03,0.01,0.04,-0.06,-0.00,-0.02,,-4.67,-0.04,9.01,-0.01,-0.02,0.01
2025-02-24 12:47:12.991,0.02,0.01,0.05,-0.06,-0.00,-0.02,,-4.76,-0.04,8.95,-0.01,-0.01,0.02
2025-02-24 12:47:13.026,0.03,0.01,0.04,-0.06,-0.00,-0.02,,-4.67,-0.02,9.05,-0.01,-0.02,0.02
2025-02-24 12:47:13.059,0.01,-0.00,0.03,-0.06,-0.00,-0.02,,-4.71,-0.02,9.04,-0.01,-0.02,0.01
2025-02-24 12:47:13.093,0.02,0.01,0.01,-0.06,-0.00,-0.02,,-4.69,-0.07,8.98,-0.01,-0.02,0.02
2025-02-24 12:47:13.127,0.02,0.02,0.02,-0.06,-0.01,-0.02,,-4.65,-0.04,8.97,-0.02,-0.02,0.01
2025-02-24 12:47:13.170,0.02,0.01,0.04,-0.06,-0.01,-0.02,,-4.70,-0.06,8.99,-0.01,-0.02,0.02
2025-02-24 12:47:13.208,0.01,0.00,0.05,-0.06,-0.00,-0.02,,-4.61,-0.01,8.99,-0.01,-0.02,0.02
